Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1686.243115
FDW14,OUT017,1351.399482
NCN55,OUT010,605.2369893
FDQ58,OUT017,2450.582622
FDY38,OUT027,5831.027679
FDH56,OUT046,1870.5326
FDL48,OUT018,630.9345699
FDC48,OUT027,2074.423229
FDN33,OUT045,1480.98192
FDA36,OUT017,3008.83493
FDT44,OUT017,1837.843945
FDQ56,OUT045,1321.961743
NCC54,OUT019,588.7788319
FDU11,OUT049,1943.337172
DRL59,OUT013,766.0600395
FDM24,OUT049,2488.548475
FDI57,OUT045,3216.32665
DRC12,OUT018,2670.651809
NCM42,OUT027,2858.391376
FDA46,OUT010,406.5983366
FDA31,OUT013,2808.506071
NCJ31,OUT035,3870.5998
FDG52,OUT046,769.5196192
NCL19,OUT019,311.7777824
FDS10,OUT035,2900.376049
FDX22,OUT010,460.5629888
NCF19,OUT035,763.5884144
NCE06,OUT046,2550.992843
DRC27,OUT046,3586.788426
FDE21,OUT035,1808.928288
NCR42,OUT019,83.76562079
FDX51,OUT018,2709.123038
NCR06,OUT018,527.9956694
FDU31,OUT027,5589.795917
FDU59,OUT017,2610.783017
FDR03,OUT027,5355.831336
FDS49,OUT027,2056.062201
FDD48,OUT010,285.6142115
NCF18,OUT017,3101.040888
NCD43,OUT027,2682.275714
NCD54,OUT018,1955.677677
FDY19,OUT010,288.2580933
NCY54,OUT017,2780.755945
NCL19,OUT018,1977.298896
FDP23,OUT010,491.3991703
FDC26,OUT013,1727.166001
FDR14,OUT010,157.9709262
NCS41,OUT035,2944.931476
FDF41,OUT035,3979.520043
FDU34,OUT046,1992.211501
DRH11,OUT046,914.9867413
FDM03,OUT013,1636.132543
FDS31,OUT017,2905.662627
FDJ20,OUT017,1902.427722
FDV44,OUT027,5000.065965
FDG02,OUT049,3186.126101
FDA09,OUT013,2890.566063
FDT04,OUT013,564.1093937
FDL58,OUT019,701.476856
FDE52,OUT045,1394.768663
FDW12,OUT035,2276.14233
FDL51,OUT017,3490.40093
NCY42,OUT027,3754.523844
FDR07,OUT017,1497.499959
FDN40,OUT045,2410.361096
FDB35,OUT027,2324.228251
FDA22,OUT017,2638.072311
NCL06,OUT046,3714.159725
FDI35,OUT013,2918.684913
NCW42,OUT045,3597.971753
NCX06,OUT049,3025.758509
FDC37,OUT027,2816.357929
FDZ14,OUT018,1648.640366
DRG49,OUT049,4048.928781
NCG06,OUT045,4076.790869
DRC36,OUT045,2776.587804
FDV21,OUT019,296.66049
FDB53,OUT046,2358.825453
DRP47,OUT019,647.2188172
FDA14,OUT013,2286.428421
DRC24,OUT035,2410.361096
FDW21,OUT018,1335.932739
NCH29,OUT046,1557.165873
FDU58,OUT013,3049.065805
FDY27,OUT017,2845.789905
FDV56,OUT035,1687.898943
FDT59,OUT046,3455.114554
FDB23,OUT046,3402.027169
FDR49,OUT045,744.1818762
FDB03,OUT010,607.7566046
FDN39,OUT045,2637.473813
FDX02,OUT027,5677.045492
FDQ16,OUT027,2805.070413
FDU35,OUT018,1319.309263
NCT29,OUT013,1893.574125
FDZ27,OUT046,775.6273393
FDN57,OUT017,2201.298693
FDA03,OUT018,1988.542641
FDZ36,OUT045,2988.28917
NCU05,OUT013,1220.84451
FDT39,OUT018,2070.0651
FDK60,OUT017,1503.666242
FDZ25,OUT017,2698.775046
FDG12,OUT046,1948.453793
DRB01,OUT019,398.731984
NCC43,OUT027,5990.613546
FDX13,OUT019,628.3250594
FDM22,OUT049,812.3409838
FDJ03,OUT027,1270.807972
FDU14,OUT018,3364.253412
FDB33,OUT010,331.2345681
FDP27,OUT046,2971.029053
FDO38,OUT010,223.0417895
FDE28,OUT027,5803.792634
FDO27,OUT035,1475.278937
DRL23,OUT027,2785.532196
FDS28,OUT046,897.6571096
FDX24,OUT013,1404.424968
FDZ02,OUT035,1490.726893
FDL46,OUT045,1815.312923
FDS60,OUT027,4759.965497
NCO06,OUT017,560.8445794
FDO16,OUT035,1310.299001
FDC60,OUT049,1338.901858
FDA48,OUT018,3045.307669
FDZ36,OUT027,4946.137256
FDK27,OUT045,1875.460519
FDW23,OUT018,480.5819037
FDM14,OUT018,1471.788583
FDM14,OUT013,1661.447903
FDW60,OUT018,2463.468381
FDE21,OUT013,1798.159753
NCM42,OUT035,1694.736473
FDY59,OUT010,259.1474505
DRI49,OUT049,1241.234346
FDT28,OUT019,321.2075086
FDQ22,OUT018,490.6413699
FDR60,OUT049,1164.990678
FDC50,OUT019,264.7167775
FDV24,OUT013,2401.40825
DRF48,OUT010,391.2551173
FDQ47,OUT046,599.5536286
DRN36,OUT049,1505.887796
NCY06,OUT035,2004.688745
FDE52,OUT035,1385.563236
NCB54,OUT045,1977.387107
NCF31,OUT035,2408.685975
FDJ08,OUT027,5024.800091
NCC07,OUT017,1642.67232
NCD19,OUT027,1385.990141
FDL46,OUT049,1882.66242
FDM20,OUT045,3954.835447
NCI06,OUT010,371.0908599
DRM11,OUT035,4110.610756
NCH07,OUT018,2178.274964
FDS23,OUT013,2017.888453
FDO49,OUT018,617.414756
FDS35,OUT049,991.5370412
DRK39,OUT045,1278.386191
DRI39,OUT049,887.8066881
FDV04,OUT017,2502.394925
NCN14,OUT035,2932.601905
FDH08,OUT013,3752.72002
FDS20,OUT046,2865.266387
FDV40,OUT049,1147.235551
FDZ48,OUT010,281.9114449
FDS24,OUT027,2247.758176
FDK44,OUT049,2918.811835
FDS48,OUT045,2372.092506
FDK26,OUT010,387.2857904
FDD23,OUT045,3038.651682
NCH54,OUT017,2562.578904
NCP14,OUT010,277.2311383
FDM60,OUT010,90.4707569
FDV24,OUT017,2386.398033
FDH08,OUT018,3148.077517
FDS12,OUT027,3366.27745
FDR39,OUT027,4806.093927
